------------------------------------------------------------------------------------
Date: 7/31/2025 -- 14:41:46 (uptime: 0d, 00h 00m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 26922
decoder.bytes                                 | Total                     | 20851149
decoder.ipv4                                  | Total                     | 26544
decoder.ethernet                              | Total                     | 26922
decoder.arp                                   | Total                     | 378
decoder.tcp                                   | Total                     | 25864
tcp.syn                                       | Total                     | 142
tcp.synack                                    | Total                     | 142
tcp.rst                                       | Total                     | 114
decoder.udp                                   | Total                     | 680
decoder.avg_pkt_size                          | Total                     | 774
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 290
flow.tcp                                      | Total                     | 142
flow.udp                                      | Total                     | 148
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 113
flow.wrk.flows_evicted_pkt_inject             | Total                     | 137
flow.wrk.flows_evicted                        | Total                     | 14
flow.wrk.flows_injected                       | Total                     | 113
tcp.sessions                                  | Total                     | 142
tcp.ssn_from_pool                             | Total                     | 142
tcp.segment_from_cache                        | Total                     | 2744
tcp.segment_from_pool                         | Total                     | 6116
tcp.stream_depth_reached                      | Total                     | 5
tcp.overlap                                   | Total                     | 8
detect.alert                                  | Total                     | 127
detect.alerts_suppressed                      | Total                     | 83
app_layer.flow.http                           | Total                     | 7
app_layer.tx.http                             | Total                     | 64
app_layer.flow.tls                            | Total                     | 88
app_layer.flow.smb                            | Total                     | 12
app_layer.tx.smb                              | Total                     | 144
app_layer.flow.dcerpc_tcp                     | Total                     | 11
app_layer.tx.dcerpc_tcp                       | Total                     | 54
app_layer.flow.ntp                            | Total                     | 4
app_layer.tx.ntp                              | Total                     | 4
app_layer.flow.krb5_tcp                       | Total                     | 8
app_layer.tx.krb5_tcp                         | Total                     | 16
app_layer.flow.quic                           | Total                     | 4
app_layer.tx.quic                             | Total                     | 16
app_layer.flow.failed_tcp                     | Total                     | 15
app_layer.flow.dns_udp                        | Total                     | 121
app_layer.tx.dns_udp                          | Total                     | 343
app_layer.flow.failed_udp                     | Total                     | 19
flow.end.state.new                            | Total                     | 13
flow.end.state.established                    | Total                     | 144
flow.end.state.closed                         | Total                     | 133
flow.end.tcp_state.established                | Total                     | 8
flow.end.tcp_state.fin_wait2                  | Total                     | 1
flow.end.tcp_state.time_wait                  | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 131
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9700
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 1
flow.mgr.flows_notimeout                      | Total                     | 1
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 163
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 113
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
