08/14/2024-20:09:45.165509  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.8.15.133:49671 -> 23.205.110.48:80
08/14/2024-20:13:49.379312  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49844 -> 72.5.43.29:80
08/14/2024-20:13:01.335430  [**] [1:2052558:2] ET MALWARE W32/Badspace.Backdoor CnC Activity (POST) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49819 -> 72.5.43.29:80
08/14/2024-20:13:01.336648  [**] [1:2018358:11] ET HUNTING GENERIC SUSPICIOUS POST to Dotted Quad with Fake Browser 1 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.8.15.133:49819 -> 72.5.43.29:80
08/14/2024-20:14:33.595914  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49854 -> 72.5.43.29:80
08/14/2024-20:13:02.865019  [**] [1:2052558:2] ET MALWARE W32/Badspace.Backdoor CnC Activity (POST) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49820 -> 72.5.43.29:80
08/14/2024-20:13:03.234048  [**] [1:2018358:11] ET HUNTING GENERIC SUSPICIOUS POST to Dotted Quad with Fake Browser 1 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.8.15.133:49820 -> 72.5.43.29:80
08/14/2024-20:13:17.503727  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49831 -> 72.5.43.29:80
08/14/2024-20:13:24.443665  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49840 -> 72.5.43.29:80
08/14/2024-20:13:00.857724  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49818 -> 72.5.43.29:80
08/14/2024-20:13:44.298710  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49843 -> 72.5.43.29:80
08/14/2024-20:13:01.054129  [**] [1:2052558:2] ET MALWARE W32/Badspace.Backdoor CnC Activity (POST) [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49818 -> 72.5.43.29:80
08/14/2024-20:13:01.054129  [**] [1:2018358:11] ET HUNTING GENERIC SUSPICIOUS POST to Dotted Quad with Fake Browser 1 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.8.15.133:49818 -> 72.5.43.29:80
08/14/2024-20:15:18.183118  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49883 -> 72.5.43.29:80
08/14/2024-20:16:09.309188  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49884 -> 72.5.43.29:80
08/14/2024-20:14:08.183528  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49848 -> 72.5.43.29:80
08/14/2024-20:14:22.384095  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49852 -> 72.5.43.29:80
08/14/2024-20:14:28.674366  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49853 -> 72.5.43.29:80
08/14/2024-20:12:00.498171  [**] [1:2018959:6] ET INFO PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 72.5.43.29:80 -> 10.8.15.133:49810
08/14/2024-20:12:00.498171  [**] [1:2021076:3] ET HUNTING SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 72.5.43.29:80 -> 10.8.15.133:49810
08/14/2024-20:12:00.498171  [**] [1:2009897:20] ET MALWARE Possible Windows executable sent when remote host claims to send html content [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 72.5.43.29:80 -> 10.8.15.133:49810
08/14/2024-20:12:00.498171  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 72.5.43.29:80 -> 10.8.15.133:49810
08/14/2024-20:16:30.584561  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49898 -> 72.5.43.29:80
08/14/2024-20:16:59.104702  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49907 -> 72.5.43.29:80
08/14/2024-20:17:17.820875  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49910 -> 72.5.43.29:80
08/14/2024-20:17:56.520383  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49918 -> 72.5.43.29:80
