------------------------------------------------------------------------------------
Date: 8/1/2025 -- 14:24:39 (uptime: 0d, 00h 00m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 18189
decoder.bytes                                 | Total                     | 11674125
decoder.ipv4                                  | Total                     | 18108
decoder.ethernet                              | Total                     | 18189
decoder.arp                                   | Total                     | 81
decoder.tcp                                   | Total                     | 15367
tcp.syn                                       | Total                     | 579
tcp.synack                                    | Total                     | 533
tcp.rst                                       | Total                     | 167
decoder.udp                                   | Total                     | 2722
decoder.icmpv4                                | Total                     | 11
decoder.avg_pkt_size                          | Total                     | 641
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 697
flow.tcp                                      | Total                     | 533
flow.udp                                      | Total                     | 164
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 8
flow.wrk.flows_evicted_needs_work             | Total                     | 479
flow.wrk.flows_evicted_pkt_inject             | Total                     | 809
flow.wrk.flows_evicted                        | Total                     | 13
flow.wrk.flows_injected                       | Total                     | 477
tcp.sessions                                  | Total                     | 533
tcp.ssn_from_cache                            | Total                     | 2
tcp.ssn_from_pool                             | Total                     | 531
tcp.segment_from_cache                        | Total                     | 461
tcp.segment_from_pool                         | Total                     | 6670
tcp.stream_depth_reached                      | Total                     | 2
tcp.overlap                                   | Total                     | 13
detect.alert                                  | Total                     | 314
detect.alerts_suppressed                      | Total                     | 336
app_layer.flow.http                           | Total                     | 311
app_layer.tx.http                             | Total                     | 322
app_layer.flow.tls                            | Total                     | 128
app_layer.flow.smb                            | Total                     | 4
app_layer.tx.smb                              | Total                     | 100
app_layer.flow.dcerpc_tcp                     | Total                     | 28
app_layer.tx.dcerpc_tcp                       | Total                     | 156
app_layer.flow.ntp                            | Total                     | 2
app_layer.tx.ntp                              | Total                     | 3
app_layer.flow.krb5_tcp                       | Total                     | 25
app_layer.tx.krb5_tcp                         | Total                     | 50
app_layer.flow.quic                           | Total                     | 6
app_layer.tx.quic                             | Total                     | 24
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 6
app_layer.flow.failed_tcp                     | Total                     | 30
app_layer.flow.dns_udp                        | Total                     | 113
app_layer.tx.dns_udp                          | Total                     | 419
app_layer.flow.failed_udp                     | Total                     | 41
flow.end.state.new                            | Total                     | 30
flow.end.state.established                    | Total                     | 141
flow.end.state.closed                         | Total                     | 526
flow.end.tcp_state.established                | Total                     | 4
flow.end.tcp_state.fin_wait2                  | Total                     | 3
flow.end.tcp_state.closed                     | Total                     | 526
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 207
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 157
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
http.memuse                                   | Total                     | 165944
flow.memuse                                   | Total                     | 7154304
