[10769 - Suricata-Main] 2025-08-01 14:24:21 Notice: suricata: This is Suricata version 7.0.10 RELEASE running in USER mode
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: cpu: CPUs/cores online: 4
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: suricata: Setting engine mode to IDS mode by default
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: exception-policy: master exception-policy set to: auto
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: logopenfile: fast output device (regular) initialized: fast.log
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: logopenfile: eve-log output device (regular) initialized: eve.json
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: logopenfile: http-log output device (regular) initialized: http.log
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: logopenfile: stats output device (regular) initialized: stats.log
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/00
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/01
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/02
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/03
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/04
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/05
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/06
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/07
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/08
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/09
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/0a
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/0b
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/0c
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/0d
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/0e
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/0f
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/10
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/11
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/12
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/13
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/14
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/15
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/16
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/17
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/18
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/19
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/1a
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/1b
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/1c
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/1d
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/1e
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/1f
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/20
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/21
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/22
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/23
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/24
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/25
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/26
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/27
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/28
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/29
[10769 - Suricata-Main] 2025-08-01 14:24:21 Info: output-filestore: Filestore (v2) creating directory ./filestore/2a
